id,region_name,service_name
01,Республика Адыгея,Единая служба спасения в Республике Адыгея
01,Республика Адыгея,Единый телефон пожарных и спасателей в Республике Адыгея
01,Республика Адыгея,Полиция в Республике Адыгея
01,Республика Адыгея,Скорая помощь в Республике Адыгея
01,Республика Адыгея,Аварийная газовая служба в Республике Адыгея
02,Республика Башкортостан,Единый телефон спасения
02,Республика Башкортостан,Единый телефон пожарных и спасателей
02,Республика Башкортостан,Полиция
02,Республика Башкортостан,Скорая помощь
02,Республика Башкортостан,Аварийная газовая служба
03,Республика Бурятия,Единый телефон пожарных и спасателей в Республике Бурятия
03,Республика Бурятия,Полиция в Республике Бурятия
03,Республика Бурятия,Скорая помощь в Республике Бурятия
04,Республика Алтай,Единая служба спасения в Республике Алтай
04,Республика Алтай,Единый телефон пожарных и спасателей в Республике Алтай
04,Республика Алтай,Полиция в Республике Алтай
04,Республика Алтай,Скорая помощь в Республике Алтай
04,Республика Алтай,Аварийная газовая служба в Республике Алтай
05,Республика Дагестан,Единый телефон пожарных и спасателей в Республике Дагестан
05,Республика Дагестан,Полиция в Республике Дагестан
05,Республика Дагестан,Скорая помощь в Республике Дагестан
05,Республика Дагестан,Аварийная газовая служба в Республике Дагестан
06,Республика Ингушетия,Единая служба спасения в Республике Ингушетия
06,Республика Ингушетия,Единый телефон пожарных и спасателей в Республике Ингушетия
06,Республика Ингушетия,Полиция в Республике Ингушетия
06,Республика Ингушетия,Скорая помощь в Республике Ингушетия
06,Республика Ингушетия,Аварийная газовая служба в Республике Ингушетия
07,Кабардино-Балкарская Республика,Единый телефон пожарных и спасателей в Кабардино-Балкарской Республике
07,Кабардино-Балкарская Республика,Полиция в Кабардино-Балкарской Республике
07,Кабардино-Балкарская Республика,Скорая помощь в Кабардино-Балкарской Республике
07,Кабардино-Балкарская Республика,Аварийная газовая служба в Кабардино-Балкарской Республике
08,Республика Калмыкия,Единая служба спасения в Республике Калмыкия 
08,Республика Калмыкия,Единый телефон пожарных и спасателей в Республике Калмыкия
08,Республика Калмыкия,Полиция в Республике Калмыкия
08,Республика Калмыкия,Скорая помощь в Республике Калмыкия
08,Республика Калмыкия,Аварийная газовая служба в Республике Калмыкия
09,Республика Карачаево-Черкессия,Единая служба спасения в Карачаево-Черкесской Республике
09,Республика Карачаево-Черкессия,Единый телефон пожарных и спасателей в Карачаево-Черкесской Республике
09,Республика Карачаево-Черкессия,Полиция в Карачаево-Черкесской Республике
09,Республика Карачаево-Черкессия,Скорая помощь в Карачаево-Черкесской Республике
09,Республика Карачаево-Черкессия,Аварийная газовая служба в Карачаево-Черкесской Республике
10,Республика Карелия,Номера экстренных служб в республике Карелия
10,Республика Карелия,Номер вызова пожарной службы
10,Республика Карелия,Номер вызова полиции Карелия
10,Республика Карелия,Номер вызова скорой помощи Карелия
10,Республика Карелия,Номер вызова газовой аварийной службы Карелия
11,Республика Коми,Номера экстренных служб в республике Коми
11,Республика Коми,Пожарная охрана
11,Республика Коми,Полиция
11,Республика Коми,Скорая помощь
11,Республика Коми,Служба газа
11,Республика Коми,Служба спасения
12,Республика Марий Эл,Единый телефон спасения
12,Республика Марий Эл,Единый телефон пожарных и спасателей
12,Республика Марий Эл,Полиция 
12,Республика Марий Эл,Скорая помощь
12,Республика Марий Эл,Аварийная газовая служба
13,Республика Мордовия,Единый телефон пожарных и спасателей
13,Республика Мордовия,Полиция 
13,Республика Мордовия,Скорая помощь
13,Республика Мордовия,Аварийная газовая служба
14,Республика Саха (Якутия),Единая служба спасения
14,Республика Саха (Якутия),Единый телефон пожарных и спасателей
14,Республика Саха (Якутия),Полиция
14,Республика Саха (Якутия),Скорая медицинская помощь
14,Республика Саха (Якутия),Аварийная газовая служба
15,Республика Северная Осетия-Алания,Единая служба спасения в Республике Северная Осетия (Алания)
15,Республика Северная Осетия-Алания,Единый телефон пожарных и спасателей в Республике Северная Осетия (Алания)
15,Республика Северная Осетия-Алания,Полиция в Республике Северная Осетия (Алания)
15,Республика Северная Осетия-Алания,Скорая помощь в Республике Северная Осетия (Алания)
15,Республика Северная Осетия-Алания,Аварийная газовая служба в Республике Северная Осетия (Алания)
16,Республика Татарстан,Единый телефон пожарных и спасателей 
16,Республика Татарстан,Полиция 
16,Республика Татарстан,Скорая помощь
16,Республика Татарстан,Аварийная газовая служба
17,Республика Тыва,Служба Спасения
17,Республика Тыва,Пожарная охрана «01»
17,Республика Тыва,Дежурная часть МВД «02»
17,Республика Тыва,Скорая медицинская помощь «03»
17,Республика Тыва,Служба газа «04»
18,Удмуртская Республика,Единый телефон спасения
18,Удмуртская Республика,Единый телефон пожарных и спасателей
18,Удмуртская Республика,Полиция 
18,Удмуртская Республика,Скорая помощь
18,Удмуртская Республика,Аварийная газовая служба
19,Республика Хакасия,Единая служба спасения в Республике Хакасия
19,Республика Хакасия,Единый телефон пожарных и спасателей в Республике Хакасия
19,Республика Хакасия,Полиция в Республике Хакасия
19,Республика Хакасия,Скорая помощь в Республике Хакасия
19,Республика Хакасия,Аварийная газовая служба в Республике Хакасия
19,Республика Хакасия,Справочная служба в Республике Хакасия
