id,region_name,service_name
20,Чеченская республика,Единый телефон пожарных и спасателей в Чеченской Республике
20,Чеченская республика,Полиция в Чеченской Республике
20,Чеченская республика,Скорая помощь в Чеченской Республике
20,Чеченская республика,Аварийная газовая служба в Чеченской Республике
21,Чувашская Республика,Единый телефон спасения 
21,Чувашская Республика,Единый телефон пожарных и спасателей
21,Чувашская Республика,Полиция
21,Чувашская Республика,Скорая помощь
22,Алтайский край,Единая дежурно- диспетчерская служба Алтайского края
75,Забайкальский край,Единая дежурно- диспетчерская служба Забайкальского края
75,Забайкальский край,Дежурно-диспетчерская служба пожарной охраны на территории Забайкальского края
75,Забайкальский край,Дежурно-диспетчерская служба полиции на территории Забайкальского края
75,Забайкальский край,Скорая помощь в Забайкальском крае
75,Забайкальский край,Аварийная газовая служба в Забайкальском крае
41,Камчатский край,Единая служба спасения 
41,Камчатский край,Единый телефон пожарных и спасателей
41,Камчатский край,Полиция
41,Камчатский край,Скорая медицинская помощь
23,Краснодарский край,Единая служба спасения в городе Краснодаре 
23,Краснодарский край,Единый телефон пожарных и спасателей в Краснодарском крае
23,Краснодарский край,Полиция в Краснодарском крае
23,Краснодарский край,Скорая помощь Краснодарском крае
23,Краснодарский край,Аварийная газовая служба в Краснодарском крае
24,Красноярский край,Единая служба спасения
24,Красноярский край,Единый телефон пожарных и спасателей
24,Красноярский край,Полиция
24,Красноярский край,Скорая помощь
24,Красноярский край,Аварийная газовая служба
59,Пермский край,Единый телефон спасения
59,Пермский край,Единый телефон пожарных и спасателей
59,Пермский край,Полиция 
59,Пермский край,Скорая помощь
59,Пермский край,Аварийная газовая служба
25,Приморский край,Единая служба спасения
25,Приморский край,Единый телефон пожарных и спасателей
25,Приморский край,Полиция
25,Приморский край,Скорая медицинская помощь
25,Приморский край,Аварийная газовая служба
26,Ставропольский край,Единая служба спасения в Ставропольском крае
26,Ставропольский край,Единый телефон пожарных и спасателей в Ставропольском крае
26,Ставропольский край,Полиция в Ставропольском крае
26,Ставропольский край,Скорая помощь в Ставропольском крае
26,Ставропольский край,Аварийная газовая служба в Ставропольском крае
27,Хабаровский край,Единая служба спасения
27,Хабаровский край,Единый телефон пожарных и спасателей
27,Хабаровский край,Полиция
27,Хабаровский край,Скорая медицинская помощь
27,Хабаровский край,Аварийная газовая служба
28,Амурская область,Единая служба спасения
28,Амурская область,Единый телефон пожарных и спасателей
28,Амурская область,Полиция
28,Амурская область,Скорая медицинская помощь
28,Амурская область,Аварийная газовая служба
29,Архангельская область,Служба спасения в Архангельской области
30,Астраханская область,Единый телефон пожарных и спасателей в Астраханской области
30,Астраханская область,Полиция в Астраханской области
30,Астраханская область,Скорая помощь в Астраханской области
30,Астраханская область,Аварийная газовая служба в Астраханской области
30,Астраханская область,Единая диспетчерская служба в Астраханской области
31,Белгородская область,Единая служба спасения в Белгородской области
31,Белгородская область,Единый телефон пожарных и спасателей в Белгородской области
31,Белгородская область,Полиция в Белгородской области
31,Белгородская область,Скорая помощь в Белгородской области
31,Белгородская область,Аварийная газовая служба в Белгородской области
32,Брянская область,Единая служба спасения в Брянской области
32,Брянская область,Единый телефон пожарных и спасателей в Брянской области
32,Брянская область,Полиция в Брянской области
32,Брянская область,Скорая помощь в Брянской области
32,Брянская область,Аварийная газовая служба в Брянской области
33,Владимирская область,Единая служба спасения во Владимирской области
33,Владимирская область,Единый телефон пожарных и спасателей во Владимирской области
33,Владимирская область,Полиция во Владимирской области
33,Владимирская область,Скорая помощь во Владимирской области
33,Владимирская область,Аварийная газовая служба во Владимирской области
34,Волгоградская область,Единая служба спасения в Волгоградской области
34,Волгоградская область,Единый телефон пожарных и спасателей Волгоградской области
34,Волгоградская область,Полиция в Волгоградской области
34,Волгоградская область,Служба скорой медицинской помощи в Волгоградской области
34,Волгоградская область,Аварийная газовая служба в Волгоградской области
35,Вологодская область,Единая служба спасения в Вологодской области 
35,Вологодская область,Единый телефон пожарных и спасателей в Вологодской области
35,Вологодская область,Полиция в Вологодской области
35,Вологодская область,Скорая помощь в Вологодской области
35,Вологодская область,Аварийная газовая служба в Вологодской области
36,Воронежская область,Единый телефон пожарных и спасателей в Воронежской области
36,Воронежская область,Полиция в Воронежской области
36,Воронежская область,Скорая помощь в Воронежской области
36,Воронежская область,Аварийная газовая служба в Воронежской области
37,Ивановская область,Единая служба спасения 
37,Ивановская область,Единый телефон пожарных и спасателей
37,Ивановская область,Полиция
37,Ивановская область,Скорая медицинская помощь
37,Ивановская область,Аварийная газовая служба
38,Иркутская область,Единая служба спасения
38,Иркутская область,Единый телефон пожарных и спасателей
38,Иркутская область,Полиция
38,Иркутская область,Скорая помощь
38,Иркутская область,Аварийная газовая служба
39,Калининградская область,Единая служба спасения в Калининградской области
39,Калининградская область,Номер вызова пожарной службы
39,Калининградская область,Полиция
39,Калининградская область,Скорая помощь
39,Калининградская область,Городская аварийная служба
40,Калужская область,Единая служба спасения в области
40,Калужская область,Единый телефон пожарных и спасателей в Калужской области
40,Калужская область,Полиция в Калужской области
40,Калужская область,Скорая помощь в Калужской области
40,Калужская область,Аварийная газовая служба в Калужской области
42,Кемеровская область,Единая служба спасения в Кемеровской области
42,Кемеровская область,Единый телефон пожарных и спасателей в Кемеровской области
42,Кемеровская область,Полиция в Кемеровской области
42,Кемеровская область,Скорая помощь в Кемеровской области
42,Кемеровская область,Аварийная газовая служба в Кемеровской области
43,Кировская область,Единый телефон пожарных и спасателей 
43,Кировская область,Полиция 
43,Кировская область,Скорая помощь
43,Кировская область,Аварийная газовая служба
44,Костромская область,Единая служба спасения 
44,Костромская область,Единый телефон пожарных и спасателей в Костромской области
44,Костромская область,Полиция в Костромской области
44,Костромская область,Скорая помощь в Костромской области
44,Костромская область,Аварийная газовая служба в Костромской области
45,Курганская область,Единая служба спасения в Курганской области
45,Курганская область,Служба спасения «01» в Курганской области
45,Курганская область,Полиция в Курганской области
45,Курганская область,Скорая медицинская помощь в Курганской области
45,Курганская область,Газовая служба в Курганской области
46,Курская область,Единый телефон вызова экстренных служб (Служба спасения)
46,Курская область,Пожарная охрана Курской области
46,Курская область,Полиция Курской области
46,Курская область,Скорая помощь Курской области
46,Курская область,Аварийная газовая служба Курской области
47,Ленинградская область,Единая служба спасения в Ленинградской области
47,Ленинградская область,Единый телефон пожарных и спасателей в Ленинградской области
47,Ленинградская область,Аварийная газовая служба в Ленинградской области
47,Ленинградская область,Полиция в Ленинградской области
47,Ленинградская область,Скорая помощь в Ленинградской области
48,Липецкая область,Единая служба спасения в Липецкой области
48,Липецкая область,Единый телефон пожарных и спасателей в Липецкой области
48,Липецкая область,Полиция в Липецкой области
48,Липецкая область,Скорая помощь в Липецкой области
48,Липецкая область,Аварийная газовая служба в Липецкой области
49,Магаданская область,Единая служба спасения
49,Магаданская область,Единый телефон пожарных и спасателей
49,Магаданская область,Полиция
49,Магаданская область,Скорая медицинская помощь
50,Московская область,Единая служба спасения в Московской области
50,Московская область,Полиция в Московской области
50,Московская область,Скорая помощь в Московской области
50,Московская область,Аварийная газовая служба в Московской области
51,Мурманская область,Единая служба спасения
51,Мурманская область,Единый телефон пожарных и спасателей в Мурманской области
51,Мурманская область,Полиция в Мурманской области
51,Мурманская область,Скорая помощь в Мурманской области
51,Мурманская область,Аварийная газовая служба в Мурманской области
52,Нижегородская область,Служба спасения
52,Нижегородская область,Полиция
52,Нижегородская область,Скорая медицинская помощь
52,Нижегородская область,Аварийная газовая служба
53,Новгородская область,Единая служба спасения в Новгородской области 
54,Новосибирская область,Единый телефон пожарных и спасателей в Новосибирской области
54,Новосибирская область,Интерактивная информационно-справочная система
54,Новосибирская область,Полиция в Новосибирской области
54,Новосибирская область,Скорая помощь в Новосибирской области
54,Новосибирская область,Аварийная газовая служба в Новосибирской области
55,Омская область,Служба спасения Омской области
55,Омская область,Пожарная охрана Омской области
55,Омская область,Полиция Омской области
55,Омская область,Скорая помощь Омской области
55,Омская область,Аварийная газовая служба Омской области
56,Оренбургская область,Единый телефон спасения
56,Оренбургская область,Единый телефон пожарных и спасателей
56,Оренбургская область,Полиция
56,Оренбургская область,Скорая помощь
57,Орловская область,Единая служба спасения 
57,Орловская область,Единый телефон пожарных и спасателей
57,Орловская область,Полиция
57,Орловская область,Скорая медицинская помощь
57,Орловская область,Аварийная газовая служба
58,Пензенская область,Единый телефон пожарных и спасателей
58,Пензенская область,Полиция
58,Пензенская область,Скорая помощь
58,Пензенская область,Аварийная служба
60,Псковская область,Единая служба спасения в Новгородской области 
60,Псковская область,Пожарная служба
60,Псковская область,Полиция
60,Псковская область,Скорая помощь
60,Псковская область,Служба газа
61,Ростовская область,Единая служба спасения в Ростовской области
61,Ростовская область,Единый телефон пожарных и спасателей в Ростовской области
61,Ростовская область,Полиция в Ростовской области
61,Ростовская область,Скорая помощь в Ростовской области
61,Ростовская область,Аварийная газовая служба в Ростовской области
62,Рязанская область,Единый телефон пожарных и спасателей в Рязанской области
62,Рязанская область,Единый телефон пожарных и спасателей в Рязанской области
62,Рязанская область,Полиция в Рязанской области
62,Рязанская область,Скорая помощь в Рязанской области
62,Рязанская область,Аварийная газовая служба в Рязанской области
63,Самарская область,Единый телефон спасения
63,Самарская область,Единый телефон пожарных и спасателей в Самарской области
63,Самарская область,Полиция
63,Самарская область,Скорая помощь
64,Саратовская область,Единый телефон спасения 
64,Саратовская область,Полиция
64,Саратовская область,Скорая помощь
64,Саратовская область,Аварийная газовая служба
65,Сахалинская область,Единая служба спасения
65,Сахалинская область,Единый телефон пожарных и спасателей
65,Сахалинская область,Полиция
65,Сахалинская область,Скорая медицинская помощь
65,Сахалинская область,Аварийная газовая служба
66,Свердловская область,МЧС России по Свердловской области
66,Свердловская область,Полиция в Свердловской области
66,Свердловская область,Скорая помощь в Свердловской области
66,Свердловская область,Газовая служба в Свердловской области
67,Смоленская область,Единая служба спасения в Костромской области
67,Смоленская область,Единый телефон пожарных и спасателей
67,Смоленская область,Полиция
67,Смоленская область,Скорая помощь
67,Смоленская область,Аварийная газовая служба
68,Тамбовская область,Единая служба спасения в  Тамбовской области
68,Тамбовская область,Полиция в Тамбовской области
68,Тамбовская область,Скорая помощь в Тамбовской области
68,Тамбовская область,Аварийная газовая служба в Тамбовской области
69,Тверская область,Единая служба спасения 
69,Тверская область,Единый телефон пожарных и спасателей в Тверской области
69,Тверская область,Полиция в Тверской области
69,Тверская область,Скорая помощь в Тверской области
69,Тверская область,Аварийная газовая служба в Тверской области
70,Томская область,Единая служба спасения в Томской области
70,Томская область,Единый телефон пожарных и спасателей в Томской области
70,Томская область,Полиция в Томской области
70,Томская область,Скорая помощь в Томской области
70,Томская область,Аварийная газовая служба в Томской области
71,Тульская область,Единая служба спасения в Тульской области
71,Тульская область,Единый телефон пожарных и спасателей в Тульской области
71,Тульская область,Полиция в Тульской области
71,Тульская область,Скорая помощь в Тульской области
71,Тульская область,Аварийная газовая служба в Тульской области
72,Тюменская область,Единая диспетчерская служба в Тюменской области
73,Ульяновская область,Единый телефон спасения 
73,Ульяновская область,Единый телефон пожарных и спасателей
73,Ульяновская область,Полиция
73,Ульяновская область,Скорая помощь
73,Ульяновская область,Аварийная служба
74,Челябинская область,МЧС России по Челябинской области
76,Ярославская область,Единая служба спасения в Ярославской области
76,Ярославская область,Полиция в Ярославской области
76,Ярославская область,Скорая помощь в Ярославской области
76,Ярославская область,Аварийная газовая служба в Ярославской области
77,Москва,Единый телефон пожарных и спасателей
77,Москва,Полиция
77,Москва,Скорая помощь
77,Москва,Аварийная газовая служба
78,Санкт-Петербург,Единая служба спасения
79,Еврейская автономная область,Единая служба спасения
79,Еврейская автономная область,Единый телефон пожарных и спасателей
79,Еврейская автономная область,Полиция
79,Еврейская автономная область,Скорая медицинская помощь
79,Еврейская автономная область,Аварийная газовая служба
83,Ненецкий автономный округ,Единая служба спасения 
83,Ненецкий автономный округ,Пожарная охрана и служба спасения
83,Ненецкий автономный округ,Полиция
83,Ненецкий автономный округ,Служба скорой помощи
83,Ненецкий автономный округ,Служба газа
86,Ханты-Мансийский автономный округ - Югра,Единая служба спасения в Ханты-Мансийском АО
87,Чукотский автономный округ,Единая служба спасения
87,Чукотский автономный округ,Единый телефон пожарных и спасателей
87,Чукотский автономный округ,Полиция
87,Чукотский автономный округ,Скорая медицинская помощь
87,Чукотский автономный округ,Аварийная газовая служба
89,Ямало-Ненецкий автономный округ,Номера экстренных служб в Ямало-Ненецком АО 
