name	postindex	address	contact	latitude	longitude	unk1	unk2	image_url	unk3	unk4
ПЧ-23 ГУ «2 ОФПС»	53199	г.Сосногорск, ул. Набережная д.47	(82149) 5-40-01 (Гаврюшин Николай Александрович)	63.573685	53.925336	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 28 ОФПС по МО, ПЧ-87	53858	г.Сергиев-Посад, ул.Центральная д.2	Воронцов Роман Николаевич, подполковник вн.сл.,  начальник части	56.294046	38.151522	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 28 ОФПС по МО, ПЧ-87	53860	г.Сергиев-Посад, ул.Центральная д.2	Воронцов Роман Николаевич, подполковник вн.сл.,  начальник части	56.294046	38.151522	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-43	53090	с. Якшур-Бодья, ул. Ленина, 53	(8-341-62) 4-16-55 (Востриков Игорь Владимирович)	57.185700	53.169898	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-42	53088	с. Юкаменское, ул. Первомайская, 50	(8-341-61) 2-16-05 (Сысоев Артемий Сергеевич)	57.886502	52.241202	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть № 40 (Шатровский район)	53383	с. Шатрово, ул. Кирова,4	8(35257) 9-11-95 (Галанина Алена Петровна, инспектор  по основной деятельности)	56.512002	64.634198	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-41	53086	с. Шаркан, ул Советская, 4а 	(8-341-36) 3-31-57 (Меньшиков Александр Алексеевич)	57.299701	53.864503	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-82 ГУ «8 ОФПС» с. Усть-Цильма	53233	с. Усть-Цильма, ул. Комсомольская, д.20	(82141) 9-15-06 (Твердов Сергей Владимирович)	65.436000	52.163102	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-71  ОФПС-7	53227	с.Усть-Кулом, ул. Ленина д. 3 «б»<br />	(82137) 9-44-00 (Игнатов Александр Николаевич)	61.689737	53.700596	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-39	53082	с. Сюмси, ул. Базарная, 12 	(8-341-52) 2-11-09 (Альматов Александр Анатольевич)	57.105402	51.610998	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-38	53080	с. Селты, ул. Ленина, 22 	(8-341-59) 3-12-67 (Базилевских Павел Петрович)	57.311117	52.120208	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-62  ОФПС-6  с. Объячево	53223	с. Объячево, ул. Советская, 14	(82133) 2-23-94 (Оботуров Владимир Анатольевич)	60.337701	49.608429	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-64	54001	с. Миасское, ул. Юбилейная, 1	8-351-50 2-19-01 (Начальник ЖИДКОВ Алексей Вячеславович)	55.286999	61.895396	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-37	53078	с. Малая Пурга, ул. Советская, 93 	(8-341-38) 4-13-60 (Чураков Денис Николаевич)	56.553670	52.991143	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-36	53076	с. Красногорское, ул. Пушкина, 2 	(8-341-64) 2-19-02 (Ефремов Николай Федотович)	57.701001	52.497797	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-53 ГУ «5 ОФПС»	53219	с. Кослан, ул. Нагорный проезд, д.1	(82135) 5-26-93 (Попов Сергей Александрович)	63.458901	48.893567	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-72  ОФПС-7	53229	с. Корткерос, ул. Советская, д.252	(82136) 9-23-59 (Хвастунов Алексей Васильевич)	61.806681	51.574778	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-63  ОФПС-6	53225	с. Койгородок, ул. Мира, 6	(82132) 9-14-19 (Муравьёв Юрий Алексеевич)	60.442200	51.004797	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-35	53074	с. Киясово, ул. Полевая, 7 	(8-341-33) 3-21-67 (Иванов Максим Сергеевич)	56.337801	53.115200	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-63	53922	с. Кизильское, пер. Бородулина, 3-а	8-351-55-3-02-47, Начальник КАДИГРОБ  Павел Сергеевич  	52.723499	58.900000	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-32	53067	с. Каракулино, ул. Каманина, 21	(8-341-32) 3-14-64 (Нияматов Валерий Рафикович)	56.005098	53.707199	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-81 ГУ «8 ОФПС»	53231	с. Ижма, ул. Чупрова, д.149 «а»<br />	(82140) 9-41-11 (Сметанин Николай Иванович)	65.012171	53.914206	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пост с.Званное ППС Курской области	53553	Глушкий район, с.Званное ул.Октябрьская, 35 - Б<br />	21001 (Феднев Вячеслав Александрович)	51.376800	34.550401	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
